GeneID	GeneName	Family_Subfamily	Protein_Class	GO_MF	GO_BP	GO_CC
SORBI_3003G107500	Protein CHROMATIN REMODELING 8	DNA EXCISION REPAIR PROTEIN ERCC-6-RELATED (PTHR45629:SF7)	damaged DNA-binding protein(PC00086)	ATP binding(GO:0005524);ATP-dependent chromatin remodeler activity(GO:0140658)	DNA repair(GO:0006281);transcription-coupled nucleotide-excision repair(GO:0006283);chromatin remodeling(GO:0006338)	nucleus(GO:0005634)
SORBI_3004G115700	Probable zinc-ribbon domain-containing protein	OS02G0258300 PROTEIN (PTHR31105:SF42)			regulation of defense response to fungus(GO:1900150)	
SORBI_3010G152500	Glycosyltransferase	GLYCOSYLTRANSFERASE-RELATED (PTHR20961:SF5)	glycosyltransferase(PC00111)	glycosyltransferase activity(GO:0016757);pentosyltransferase activity(GO:0016763)		Golgi membrane(GO:0000139)
SORBI_3004G310300	Mitochondrial phosphate transporter	MITOCHONDRIAL PHOSPHATE TRANSPORTER (PTHR45671:SF17)	mitochondrial carrier protein(PC00158)	mRNA binding(GO:0003729);phosphate transmembrane transporter activity(GO:0005315)	response to salt stress(GO:0009651);phosphate ion transmembrane transport(GO:0035435);mitochondrial phosphate ion transmembrane transport(GO:1990547)	mitochondrial inner membrane(GO:0005743);membrane(GO:0016020)
SORBI_3007G090406	Uncharacterized protein					
SORBI_3002G085300	Glycosyltransferase	OS07G0241500 PROTEIN (PTHR11926:SF1451)	transferase(PC00220)	UDP-glycosyltransferase activity(GO:0008194);UDP-glucosyltransferase activity(GO:0035251)		
SORBI_3010G152800	Uncharacterized protein					
SORBI_3008G105300	Uncharacterized protein	OS01G0776500 PROTEIN (PTHR18868:SF38)				
SORBI_3001G188000	Methyltransferase FkbM domain-containing protein	EXPRESSED PROTEIN (PTHR34203:SF13)	methyltransferase(PC00155)	O-methyltransferase activity(GO:0008171)		
SORBI_3001G011600	Integral membrane protein	F3H9.20 PROTEIN (PTHR36716:SF2)				
SORBI_3001G177900	Kinesin motor domain-containing protein	KINESIN-LIKE PROTEIN KIN-12F (PTHR24115:SF829)	microtubule binding motor protein(PC00156)	nucleotide binding(GO:0000166);cytoskeletal motor activity(GO:0003774);microtubule motor activity(GO:0003777);ATP binding(GO:0005524);microtubule binding(GO:0008017)	microtubule-based movement(GO:0007018)	kinesin complex(GO:0005871);phragmoplast(GO:0009524)
SORBI_3009G219800	Uncharacterized protein	EXPRESSED PROTEIN (PTHR34272:SF1)				
SORBI_3003G343900	Non-haem dioxygenase N-terminal domain-containing protein	2-OXOGLUTARATE (2OG) AND FE(II)-DEPENDENT OXYGENASE SUPERFAMILY PROTEIN (PTHR34945:SF2)	oxygenase(PC00177)			
SORBI_3001G305900	AIG1-type G domain-containing protein	"TRANSLOCASE OF CHLOROPLAST 120, CHLOROPLASTIC-RELATED (PTHR10903:SF135)"	small GTPase(PC00208)	GTPase activity(GO:0003924);GTP binding(GO:0005525)	protein targeting to chloroplast(GO:0045036)	chloroplast outer membrane(GO:0009707)
SORBI_3002G096800	F-box domain-containing protein					
SORBI_3004G102700	Protein BZR1 homolog	PROTEIN BZR1 HOMOLOG (PTHR31506:SF18)		DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)	DNA-templated transcription(GO:0006351);regulation of DNA-templated transcription(GO:0006355);brassinosteroid mediated signaling pathway(GO:0009742)	nucleus(GO:0005634)
SORBI_3004G140300	7-dehydrocholesterol reductase	7-DEHYDROCHOLESTEROL REDUCTASE (PTHR21257:SF38)	reductase(PC00198)	"oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor(GO:0016628);7-dehydrocholesterol reductase activity(GO:0047598)"	steroid biosynthetic process(GO:0006694);sterol biosynthetic process(GO:0016126)	endoplasmic reticulum membrane(GO:0005789);membrane(GO:0016020)
SORBI_3002G256200	Cyclin-like domain-containing protein	CYCLIN-C (PTHR10026:SF7)	kinase activator(PC00138)	cyclin-dependent protein serine/threonine kinase regulator activity(GO:0016538)	regulation of transcription by RNA polymerase II(GO:0006357);positive regulation of transcription by RNA polymerase II(GO:0045944)	mediator complex(GO:0016592)
SORBI_3003G394100	ceramide glucosyltransferase	CERAMIDE GLUCOSYLTRANSFERASE (PTHR12726:SF0)	glycosyltransferase(PC00111)	ceramide glucosyltransferase activity(GO:0008120);glycosyltransferase activity(GO:0016757)	sphingolipid metabolic process(GO:0006665)	membrane(GO:0016020)
SORBI_3001G040500	RING-type E3 ubiquitin transferase	RING-TYPE E3 UBIQUITIN TRANSFERASE (PTHR22765:SF447)	ubiquitin-protein ligase(PC00234)	ubiquitin protein ligase activity(GO:0061630)	ubiquitin-dependent protein catabolic process(GO:0006511)	
SORBI_3001G483700	Germin-like protein	GERMIN-LIKE PROTEIN SUBFAMILY 1 MEMBER 1 (PTHR31238:SF5)		manganese ion binding(GO:0030145)	plasmodesmata-mediated intercellular transport(GO:0010497);regulation of root development(GO:2000280)	plasmodesma(GO:0009506);apoplast(GO:0048046)
SORBI_3009G095480	CCHC-type domain-containing protein	OS11G0296500 PROTEIN (PTHR23002:SF89)	RNA metabolism protein(PC00031)	nucleic acid binding(GO:0003676);single-stranded RNA binding(GO:0003727);mRNA binding(GO:0003729);zinc ion binding(GO:0008270);translation regulator activity(GO:0045182)	positive regulation of cytoplasmic translation(GO:2000767)	cytoplasm(GO:0005737)
SORBI_3009G183900	Peptidase C14 caspase domain-containing protein	PEPTIDASE C14 CASPASE DOMAIN-CONTAINING PROTEIN (PTHR48104:SF15)		cysteine-type endopeptidase activity(GO:0004197)	proteolysis(GO:0006508)	
SORBI_3002G211200	Uncharacterized protein					
SORBI_3010G107400	3-ketoacyl-CoA synthase	3-KETOACYL-COA SYNTHASE (PTHR31561:SF74)		"acyltransferase activity(GO:0016746);acyltransferase activity, transferring groups other than amino-acyl groups(GO:0016747)"	fatty acid biosynthetic process(GO:0006633)	membrane(GO:0016020)
SORBI_3008G104601	Uncharacterized protein					
SORBI_3004G090000	F-box associated domain-containing protein	OS04G0324600 PROTEIN (PTHR33207:SF84)				
SORBI_3005G014800	AP2_ERF domain-containing protein	AP2_EREBP TRANSCRIPTION FACTOR SUPERFAMILY PROTEIN-RELATED (PTHR31190:SF200)		DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)	regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)
SORBI_3002G026300	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha	PYROPHOSPHATE--FRUCTOSE 6-PHOSPHATE 1-PHOSPHOTRANSFERASE SUBUNIT ALPHA (PTHR43650:SF8)	carbohydrate kinase(PC00065)	6-phosphofructokinase activity(GO:0003872);ATP binding(GO:0005524);diphosphate-fructose-6-phosphate 1-phosphotransferase activity(GO:0047334)	fructose 6-phosphate metabolic process(GO:0006002);glycolytic process(GO:0006096);photosynthesis(GO:0015979);glycolytic process through fructose-6-phosphate(GO:0061615)	cytoplasm(GO:0005737);cytosol(GO:0005829)
SORBI_3007G201500	Rab-GAP TBC domain-containing protein	TBC1 DOMAIN FAMILY MEMBER 5 (PTHR22957:SF337)	GTPase-activating protein(PC00257)	GTPase activator activity(GO:0005096)	"retrograde transport, endosome to Golgi(GO:0042147)"	Golgi apparatus(GO:0005794);cytosol(GO:0005829);endosome membrane(GO:0010008);retromer complex(GO:0030904)
SORBI_3006G210200	Uncharacterized protein	OS04G0610200 PROTEIN (PTHR33411:SF5)				
SORBI_3004G062200	DUF3741 domain-containing protein	OS06G0658500 PROTEIN (PTHR33416:SF14)				
SORBI_3002G090900	Cytochrome P450	CYTOCHROME P450 SUPERFAMILY PROTEIN-RELATED (PTHR47956:SF145)	oxygenase(PC00177)	"monooxygenase activity(GO:0004497);iron ion binding(GO:0005506);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);heme binding(GO:0020037)"		
SORBI_3010G190700	Alpha-L-arabinofuranosidase B arabinose-binding domain-containing protein	PROLINE-TRNA LIGASE (DUF1680) (PTHR31151:SF0)	aminoacyl-tRNA synthetase(PC00047)	alpha-L-arabinofuranosidase activity(GO:0046556)	carbohydrate metabolic process(GO:0005975);L-arabinose metabolic process(GO:0046373)	
SORBI_3010G082300	Fucosyltransferase	FUCOSYLTRANSFERASE (PTHR31889:SF6)	transferase(PC00220)	galactoside 2-alpha-L-fucosyltransferase activity(GO:0008107)	cell wall biogenesis(GO:0042546);cell wall organization(GO:0071555)	membrane(GO:0016020);Golgi cisterna membrane(GO:0032580)
SORBI_3001G000200	Rab-GAP TBC domain-containing protein	RAB-GAP TBC DOMAIN-CONTAINING PROTEIN (PTHR22957:SF597)	GTPase-activating protein(PC00257)	GTPase activator activity(GO:0005096)		
SORBI_3007G207400	Serine_threonine-protein phosphatase	SERINE_THREONINE-PROTEIN PHOSPHATASE 7 (PTHR45668:SF9)	protein phosphatase(PC00195)	protein serine/threonine phosphatase activity(GO:0004722);hydrolase activity(GO:0016787)		
SORBI_3006G209200	Uncharacterized protein	OS04G0609300 PROTEIN (PTHR31642:SF193)	acetyltransferase(PC00038)	"acyltransferase activity, transferring groups other than amino-acyl groups(GO:0016747)"		
SORBI_3001G403100	Laccase	LACCASE (PTHR11709:SF287)	oxidase(PC00175)	copper ion binding(GO:0005507);oxidoreductase activity(GO:0016491);hydroquinone:oxygen oxidoreductase activity(GO:0052716)	lignin catabolic process(GO:0046274)	apoplast(GO:0048046)
SORBI_3001G262601	CCHC-type domain-containing protein	OS11G0296500 PROTEIN (PTHR23002:SF89)	RNA metabolism protein(PC00031)	nucleic acid binding(GO:0003676);single-stranded RNA binding(GO:0003727);mRNA binding(GO:0003729);zinc ion binding(GO:0008270);translation regulator activity(GO:0045182)	positive regulation of cytoplasmic translation(GO:2000767)	cytoplasm(GO:0005737)
SORBI_3004G138000	Transcriptional coactivator Hfi1_Transcriptional adapter 1	TRANSCRIPTIONAL REGULATOR OF RNA POLII SAGA SUBUNIT (PTHR21277:SF26)		transcription coactivator activity(GO:0003713)	regulation of transcription by RNA polymerase II(GO:0006357);positive regulation of DNA-templated transcription(GO:0045893)	SAGA complex(GO:0000124);SAGA-type complex(GO:0070461)
SORBI_3003G079900	Protein kinase domain-containing protein	OS01G0137500 PROTEIN (PTHR27009:SF364)		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);ATP binding(GO:0005524);polysaccharide binding(GO:0030247)		membrane(GO:0016020)
SORBI_3009G024800	RecA family profile 1 domain-containing protein	DNA REPAIR PROTEIN RAD51 HOMOLOG 2 (PTHR46456:SF1)	DNA metabolism protein(PC00009)	"four-way junction DNA binding(GO:0000400);DNA binding(GO:0003677);double-stranded DNA binding(GO:0003690);single-stranded DNA binding(GO:0003697);ATP binding(GO:0005524);ATP-dependent activity, acting on DNA(GO:0008094);ATP-dependent DNA damage sensor activity(GO:0140664)"	double-strand break repair via homologous recombination(GO:0000724);DNA repair(GO:0006281)	nucleus(GO:0005634);replication fork(GO:0005657);Rad51B-Rad51C-Rad51D-XRCC2 complex(GO:0033063)
SORBI_3004G353200	PCI domain-containing protein	26S PROTEASOME NON-ATPASE REGULATORY SUBUNIT 12 (PTHR10855:SF1)	protease(PC00190)			"proteasome complex(GO:0000502);nucleus(GO:0005634);proteasome regulatory particle, lid subcomplex(GO:0008541)"
SORBI_3002G073100	Uncharacterized protein					
SORBI_3005G189900	BTB domain-containing protein	OS11G0619800 PROTEIN (PTHR26379:SF483)			protein ubiquitination(GO:0016567)	
SORBI_3008G107800	DM2 domain-containing protein	CHROMATIN STRUCTURE-REMODELING COMPLEX PROTEIN RSC6-RELATED (PTHR13844:SF8)	"chromatin/chromatin-binding, or -regulatory protein(PC00077)"			
SORBI_3001G039200	Uncharacterized protein	LEGUME LECTIN DOMAIN-CONTAINING PROTEIN (PTHR33257:SF20)				
SORBI_3003G185250	Uncharacterized protein					
SORBI_3001G201800	Benzyl alcohol O-benzoyltransferase	BENZYL ALCOHOL O-BENZOYLTRANSFERASE (PTHR31642:SF9)	acetyltransferase(PC00038)	"acyltransferase activity, transferring groups other than amino-acyl groups(GO:0016747)"		
SORBI_3010G078700	Uncharacterized protein	HOMEOBOX-LEUCINE ZIPPER PROTEIN ROC8 (PTHR45654:SF12)	homeodomain transcription factor(PC00119)	"DNA-binding transcription factor activity, RNA polymerase II-specific(GO:0000981);DNA binding(GO:0003677);lipid binding(GO:0008289)"	regulation of DNA-templated transcription(GO:0006355);regulation of transcription by RNA polymerase II(GO:0006357)	nucleus(GO:0005634)
SORBI_3002G121100	Carboxypeptidase	CARBOXYPEPTIDASE (PTHR11802:SF508)	serine protease(PC00203)	serine-type carboxypeptidase activity(GO:0004185)	proteolysis(GO:0006508)	
SORBI_3002G376300	FYVE-type domain-containing protein	HEPATOCYTE GROWTH FACTOR-REGULATED TYROSINE KINASE SUBSTRATE (PTHR46275:SF1)		ubiquitin binding(GO:0043130);metal ion binding(GO:0046872)	receptor internalization(GO:0031623);endocytic recycling(GO:0032456)	early endosome(GO:0005769)
SORBI_3002G001800	Potassium transporter	POTASSIUM TRANSPORTER 22 (PTHR30540:SF24)	transporter(PC00227)	potassium ion transmembrane transporter activity(GO:0015079)	potassium ion transmembrane transport(GO:0071805)	membrane(GO:0016020)
SORBI_3001G356300	Uncharacterized protein	SUBFAMILY NOT NAMED (PTHR33388:SF13)		DNA-binding transcription factor activity(GO:0003700)	regulation of DNA-templated transcription(GO:0006355)	
SORBI_3002G107600	FAD-binding PCMH-type domain-containing protein	ALDEHYDE OXIDASE-LIKE PROTEIN-RELATED (PTHR11908:SF89)	oxidoreductase(PC00176)	iron ion binding(GO:0005506);oxidoreductase activity(GO:0016491);metal ion binding(GO:0046872);flavin adenine dinucleotide binding(GO:0050660);FAD binding(GO:0071949)		
SORBI_3010G137400	Protein kinase domain-containing protein	OS06G0496800 PROTEIN (PTHR27002:SF396)	transmembrane signal receptor(PC00197)	protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524)		
SORBI_3002G271800	HpcH_HpaI aldolase_citrate lyase domain-containing protein	PHOSPHOENOLPYRUVATE CARBOXYLASE FAMILY PROTEIN (PTHR30502:SF0)	aldolase(PC00044)	catalytic activity(GO:0003824);aldehyde-lyase activity(GO:0016832)		cytoplasm(GO:0005737)
SORBI_3006G191900	FYVE-type domain-containing protein	F12P19.9 PROTEIN (PTHR22870:SF350)	guanyl-nucleotide exchange factor(PC00113)	metal ion binding(GO:0046872)		
SORBI_3001G402800	Uncharacterized protein					
SORBI_3006G215500	F-box associated domain-containing protein	"F-BOX DOMAIN CONTAINING PROTEIN, EXPRESSED (PTHR34591:SF54)"				
SORBI_3007G048900	F-box domain-containing protein	F-BOX DOMAIN-CONTAINING PROTEIN (PTHR36140:SF3)				
SORBI_3010G090000	t-SNARE coiled-coil homology domain-containing protein	SYNTAXIN-23 (PTHR19957:SF398)	SNARE protein(PC00034)	SNARE binding(GO:0000149);SNAP receptor activity(GO:0005484)	intracellular protein transport(GO:0006886);vesicle-mediated transport(GO:0016192);vesicle docking(GO:0048278);membrane fusion(GO:0061025)	membrane(GO:0016020)
SORBI_3002G256900	Acyl-[acyl-carrier-protein] hydrolase	"OLEOYL-ACYL CARRIER PROTEIN THIOESTERASE 1, CHLOROPLASTIC (PTHR31727:SF6)"	esterase(PC00097)	fatty acyl-[ACP] hydrolase activity(GO:0016297);thiolester hydrolase activity(GO:0016790)	fatty acid biosynthetic process(GO:0006633)	chloroplast(GO:0009507)
SORBI_3007G097000	Rad21_Rec8-like protein N-terminal domain-containing protein	SISTER CHROMATID COHESION 1 PROTEIN 3 (PTHR12585:SF55)		chromatin binding(GO:0003682)	sister chromatid cohesion(GO:0007062);replication-born double-strand break repair via sister chromatid exchange(GO:1990414)	nucleus(GO:0005634);cohesin complex(GO:0008278)
SORBI_3009G109925	phospholipase D	PHOSPHOLIPASE D (PTHR18896:SF197)	phospholipase(PC00186)	catalytic activity(GO:0003824);D-type glycerophospholipase activity(GO:0004630)	lipid metabolic process(GO:0006629);phosphatidic acid biosynthetic process(GO:0006654);intracellular signal transduction(GO:0035556)	
SORBI_3001G190200	Major facilitator superfamily (MFS) profile domain-containing protein	SUGAR TRANSPORT PROTEIN MST2 (PTHR23500:SF545)	secondary carrier transporter(PC00258)	carbohydrate transmembrane transporter activity(GO:0015144);monosaccharide transmembrane transporter activity(GO:0015145);transmembrane transporter activity(GO:0022857)	monosaccharide transmembrane transport(GO:0015749);transmembrane transport(GO:0055085)	membrane(GO:0016020)
SORBI_3009G050500	Scaffold protein Nfu_NifU N-terminal domain-containing protein	"NFU1 IRON-SULFUR CLUSTER SCAFFOLD HOMOLOG, MITOCHONDRIAL (PTHR11178:SF1)"		"structural molecule activity(GO:0005198);iron ion binding(GO:0005506);iron-sulfur cluster binding(GO:0051536);4 iron, 4 sulfur cluster binding(GO:0051539)"	iron-sulfur cluster assembly(GO:0016226);protein maturation(GO:0051604)	
SORBI_3010G127300	Protein kinase domain-containing protein	LECTIN-LIKE RECEPTOR PROTEIN KINASE FAMILY PROTEIN-RELATED (PTHR27007:SF28)		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);carbohydrate binding(GO:0030246)	negative regulation of response to salt stress(GO:1901001)	plasma membrane(GO:0005886);membrane(GO:0016020)
SORBI_3001G286700	Uncharacterized protein	HOMEOBOX-LEUCINE ZIPPER PROTEIN HDG5 (PTHR45654:SF11)	homeodomain transcription factor(PC00119)	"DNA-binding transcription factor activity, RNA polymerase II-specific(GO:0000981);DNA binding(GO:0003677);lipid binding(GO:0008289)"	regulation of DNA-templated transcription(GO:0006355);regulation of transcription by RNA polymerase II(GO:0006357)	nucleus(GO:0005634)
SORBI_3005G110900	Uncharacterized protein	ACIDIC LEUCINE-RICH NUCLEAR PHOSPHOPROTEIN 32 FAMILY B PROTEIN (PTHR36760:SF1)				
SORBI_3001G025900	Cell division control protein 24 OB domain-containing protein	NUCLEIC ACID-BINDING PROTEINS SUPERFAMILY (PTHR36033:SF1)				
SORBI_3002G013900	Protein kinase domain-containing protein	RECEPTOR-LIKE SERINE_THREONINE-PROTEIN KINASE SD1-6 (PTHR47975:SF18)		protein kinase activity(GO:0004672);ATP binding(GO:0005524)		
SORBI_3001G018800	60S ribosomal protein L44	OS07G0450000 PROTEIN (PTHR10369:SF48)	ribosomal protein(PC00202)	structural constituent of ribosome(GO:0003735)	cytoplasmic translation(GO:0002181);translation(GO:0006412)	ribosome(GO:0005840);cytosolic large ribosomal subunit(GO:0022625)
SORBI_3001G155700	Uncharacterized protein	EXPANSIN-B12 (PTHR31692:SF14)				extracellular region(GO:0005576)
SORBI_3008G076401	Fatty acyl-CoA reductase			alcohol-forming very long-chain fatty acyl-CoA reductase activity(GO:0080019);alcohol-forming long-chain fatty acyl-CoA reductase activity(GO:0102965)		
SORBI_3001G238100	Expansin	EXPANSIN (PTHR31867:SF139)			plant-type cell wall organization(GO:0009664)	extracellular region(GO:0005576);membrane(GO:0016020)
SORBI_3003G106300	EXPERA domain-containing protein	3-BETA-HYDROXYSTEROID-DELTA(8)DELTA(7)-ISOMERASE-RELATED (PTHR14207:SF6)	isomerase(PC00135)	steroid Delta-isomerase activity(GO:0004769);cholestenol delta-isomerase activity(GO:0047750)	sterol metabolic process(GO:0016125);sterol biosynthetic process(GO:0016126)	endoplasmic reticulum(GO:0005783);membrane(GO:0016020)
SORBI_3002G262700	RRM domain-containing protein	U11_U12 SMALL NUCLEAR RIBONUCLEOPROTEIN 35 KDA PROTEIN (PTHR13952:SF6)	RNA splicing factor(PC00148)	nucleic acid binding(GO:0003676);RNA binding(GO:0003723);mRNA binding(GO:0003729);snRNA binding(GO:0017069)		nucleus(GO:0005634);U11/U12 snRNP(GO:0034693);precatalytic spliceosome(GO:0071011);ribonucleoprotein complex(GO:1990904)
